Date,SEL-CUP-400G,SEL-CUP-400G_multiplier,SEL-CUP-200G,SEL-CUP-200G_multiplier,SEL-BKT-5KG,SEL-BKT-5KG_multiplier,SEL-BKT-15KG,SEL-BKT-15KG_multiplier,MNG-LSI-170G,MNG-LSI-170G_multiplier,ROS-LSI-170G,ROS-LSI-170G_multiplier
1/1/25,422,1,107,1,215,1,975,1,0,1,0,1
2/1/25,262,1,155,1,195,1,1065,1,0,1,0,1
3/1/25,288,1,107,1,240,1,810,1,0,1,0,1
4/1/25,226,1,116,1,250,1,825,1,0,1,0,1
5/1/25,218,1,116,1,455,1,1215,1,0,1,0,1
6/1/25,346,1,121,1,555,1,705,1,0,1,0,1
7/1/25,850,1,121,1,810,1,1110,1,0,1,0,1
8/1/25,598,1,122,1,3140,1,1140,1,0,1,0,1
9/1/25,691,1,209,1,4585,1,1695,1,0,1,0,1
10/1/25,1044,1,362,1,2975,1,1905,1,0,1,0,1
11/1/25,1555,1,408,1,4900,1,1905,1,0,1,0,1
12/1/25,1236,1,344,1,1750,1,2310,1,0,1,0,1
13/1/25,821,1,150,1,3040,1,1500,1,0,1,0,1
14/1/25,684,1,163,1,990,1,1260,1,0,1,0,1
15/1/25,478,1,108,1,865,1,1245,1,0,1,0,1
16/1/25,271,1,91,1,420,1,435,1,0,1,0,1
17/1/25,281,1,91,1,475,1,945,1,0,1,0,1
18/1/25,192,1,91,1,595,1,1035,1,0,1,0,1
19/1/25,283,1,108,1,610,1,1050,1,0,1,0,1
20/1/25,288,1,108,1,525,1,1050,1,0,1,0,1
21/1/25,278,1,108,1,290,1,1110,1,0,1,0,1
22/1/25,221,1,108,1,285,1,1335,1,0,1,0,1
23/1/25,226,1,154,1,275,1,1215,1,0,1,0,1
24/1/25,350,1,139,1,350,1,1215,1,0,1,0,1
25/1/25,389,1,127,1,265,1,1470,1,0,1,0,1
26/1/25,262,1,115,1,295,1,1290,1,0,1,0,1
27/1/25,413,1,127,1,305,1,1170,1,0,1,0,1
28/1/25,358,1,101,1,515,1,1170,1,0,1,0,1
29/1/25,394,1,101,1,350,1,1305,1,0,1,0,1
30/1/25,336,1,108,1,335,1,1455,1,0,1,0,1
31/1/25,422,1,120,1,605,1,825,1,0,1,0,1
1/2/25,691,1,220,1,435,1,1095,1,0,1,0,1
2/2/25,641,1,193,1,1170,1,2310,1,0,1,0,1
3/2/25,394,1,259,1,545,1,1515,1,0,1,0,1
4/2/25,862,1,206,1,460,1,2265,1,0,1,0,1
