SKU_ID,Product_Category,Inventory_Size
SEL-BKT-1KG,SELECT-CURD,1.0
SEL-BKT-2KG,SELECT-CURD,1.0
SEL-BKT-5KG,SELECT-CURD,1.0
SEL-BKT-15KG,SELECT-CURD,1.0
SEL-CUP-200G,SELECT-CURD,1.0
SEL-CUP-400G,SELECT-CURD,1.0
LFT-BKT-1KG,LOW-FAT-CURD,1.0
LFT-BKT-2KG,LOW-FAT-CURD,1.0
LFT-BKT-5KG,LOW-FAT-CURD,1.0
LFT-BKT-15KG,LOW-FAT-CURD,1.0
LFT-CUP-200G,LOW-FAT-CURD,1.0
LFT-CUP-400G,LOW-FAT-CURD,1.0
LFT-PCH-CRD-500G,LFT-POUCH-CURD,1.0
LFT-PCH-CRD-1KG,LFT-POUCH-CURD,1.0
PLN-PCH-CRD-500G,PLN-POUCH-CURD,1.0
PLN-PCH-CRD-1KG,PLN-POUCH-CURD,1.0
ROS-LSI-170G,ROSE-LASSI,1.0
MNG-LSI-170G,MANGO-LASSI,1.0
SHI-LSI-170G,SHAHI-LASSI,1.0
