================================================================================
                            GENERATED TASK LIST LOG
================================================================================
Report Generated: 2025-06-26 10:32:40
Total Tasks Generated: 23

Task ID                             | Type               | Previous Task ID                    | Next Task ID                       
-------------------------------------------------------------------------------------------------------------------------------------
SELECT-CURD-SELECT-CURD-b0-SEL-CRD-MST-STANDARDISATION | BULK_PRODUCTION    | None                                | SELECT-CURD-SELECT-CURD-b0-SEL-CRD-PAST
SELECT-CURD-SELECT-CURD-b0-SEL-CRD-PAST | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b0-SEL-CRD-MST-STANDARDISATION | SELECT-CURD-SELECT-CURD-b0-SEL-CRD-LT-STANDARDISATION
SELECT-CURD-SELECT-CURD-b0-SEL-CRD-LT-STANDARDISATION | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b0-SEL-CRD-PAST | SELECT-CURD-SELECT-CURD-b0-SEL-CRD-INOCULATION
SELECT-CURD-SELECT-CURD-b0-SEL-CRD-INOCULATION | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b0-SEL-CRD-LT-STANDARDISATION | None                               
SELECT-CURD-SELECT-CURD-b1-SEL-CRD-MST-STANDARDISATION | BULK_PRODUCTION    | None                                | SELECT-CURD-SELECT-CURD-b1-SEL-CRD-PAST
SELECT-CURD-SELECT-CURD-b1-SEL-CRD-PAST | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b1-SEL-CRD-MST-STANDARDISATION | SELECT-CURD-SELECT-CURD-b1-SEL-CRD-LT-STANDARDISATION
SELECT-CURD-SELECT-CURD-b1-SEL-CRD-LT-STANDARDISATION | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b1-SEL-CRD-PAST | SELECT-CURD-SELECT-CURD-b1-SEL-CRD-INOCULATION
SELECT-CURD-SELECT-CURD-b1-SEL-CRD-INOCULATION | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b1-SEL-CRD-LT-STANDARDISATION | None                               
SELECT-CURD-SELECT-CURD-b2-SEL-CRD-MST-STANDARDISATION | BULK_PRODUCTION    | None                                | SELECT-CURD-SELECT-CURD-b2-SEL-CRD-PAST
SELECT-CURD-SELECT-CURD-b2-SEL-CRD-PAST | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b2-SEL-CRD-MST-STANDARDISATION | SELECT-CURD-SELECT-CURD-b2-SEL-CRD-LT-STANDARDISATION
SELECT-CURD-SELECT-CURD-b2-SEL-CRD-LT-STANDARDISATION | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b2-SEL-CRD-PAST | SELECT-CURD-SELECT-CURD-b2-SEL-CRD-INOCULATION
SELECT-CURD-SELECT-CURD-b2-SEL-CRD-INOCULATION | BULK_PRODUCTION    | SELECT-CURD-SELECT-CURD-b2-SEL-CRD-LT-STANDARDISATION | None                               
ORD_101-BKT-SEL-b0-SEL-CRD-PACKING  | FINISHING          | None                                | None                               
ORD_201-CUP-SEL-b0-SEL-CRD-PACKING  | FINISHING          | None                                | None                               
POUCH-CURD-POUCH-CURD-b0-CRD-MST-STANDARDISATION | BULK_PRODUCTION    | None                                | POUCH-CURD-POUCH-CURD-b0-CRD-PAST  
POUCH-CURD-POUCH-CURD-b0-CRD-PAST   | BULK_PRODUCTION    | POUCH-CURD-POUCH-CURD-b0-CRD-MST-STANDARDISATION | POUCH-CURD-POUCH-CURD-b0-CRD-LT-STANDARDISATION
POUCH-CURD-POUCH-CURD-b0-CRD-LT-STANDARDISATION | BULK_PRODUCTION    | POUCH-CURD-POUCH-CURD-b0-CRD-PAST   | POUCH-CURD-POUCH-CURD-b0-CRD-INOCULATION
POUCH-CURD-POUCH-CURD-b0-CRD-INOCULATION | BULK_PRODUCTION    | POUCH-CURD-POUCH-CURD-b0-CRD-LT-STANDARDISATION | None                               
POUCH-CURD-POUCH-CURD-b1-CRD-MST-STANDARDISATION | BULK_PRODUCTION    | None                                | POUCH-CURD-POUCH-CURD-b1-CRD-PAST  
POUCH-CURD-POUCH-CURD-b1-CRD-PAST   | BULK_PRODUCTION    | POUCH-CURD-POUCH-CURD-b1-CRD-MST-STANDARDISATION | POUCH-CURD-POUCH-CURD-b1-CRD-LT-STANDARDISATION
POUCH-CURD-POUCH-CURD-b1-CRD-LT-STANDARDISATION | BULK_PRODUCTION    | POUCH-CURD-POUCH-CURD-b1-CRD-PAST   | POUCH-CURD-POUCH-CURD-b1-CRD-INOCULATION
POUCH-CURD-POUCH-CURD-b1-CRD-INOCULATION | BULK_PRODUCTION    | POUCH-CURD-POUCH-CURD-b1-CRD-LT-STANDARDISATION | None                               
ORD_102-PCH-CRD-b0-CRD-POUCH-PACKING | FINISHING          | None                                | None                               
